"epci2018";"SEXE";"Indic";"valeur_b100";"valeur";"valeur_france";"Indicateur";"Unite";"Indicateur_s";"diffFH";"SUM_DIFF";"SUM_Diff_FH"
"200000172";"Femmes";"FAM_2";93,7957482088419;10,852452448847;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";42,8918171347604;38,7685650750663;153,992251740317
"200000172";"Hommes";"FAM_2";50,9039310740815;5,88973916185232;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";42,8918171347604;164,501237452493;153,992251740317
"200000438";"Femmes";"FAM_2";85,2214486336542;9,86037999141848;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";53,4187244224478;109,578767392011;235,21842938082
"200000438";"Hommes";"FAM_2";31,8027242112064;3,67967161451118;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";53,4187244224478;197,90127868704;235,21842938082
"200000545";"Femmes";"FAM_2";139,436882628174;16,1332700813732;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";77,1515890085659;222,340540829382;226,497149673181
"200000545";"Hommes";"FAM_2";62,2852936196081;7,2065973157358;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";77,1515890085659;214,601997472495;226,497149673181
"200000628";"Femmes";"FAM_2";169,936378411241;19,662154215466;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";117,989727541506;210,932246939451;288,847398997947
"200000628";"Hommes";"FAM_2";51,9466508697351;6,0103850036511;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";117,989727541506;193,021914697572;288,847398997947
"200000800";"Femmes";"FAM_2";76,7459803872675;8,87974261838078;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";18,4854381513774;72,4192344448971;122,686671507319
"200000800";"Hommes";"FAM_2";58,2605422358901;6,7409213779206;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";18,4854381513774;183,376813874694;122,686671507319
"200000925";"Femmes";"FAM_2";60,2361514070715;6,96950534891271;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";42,4880526907811;150,724836108357;191,910654342023
"200000925";"Hommes";"FAM_2";17,7480987162904;2,05350883226738;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";42,4880526907811;220,589977587716;191,910654342023
"200000933";"Femmes";"FAM_2";98,6493157144561;11,4140249248687;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";59,3677314372599;37,5699797218989;165,199157472453
"200000933";"Hommes";"FAM_2";39,2815842771962;4,54499839944197;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";59,3677314372599;186,846827710085;165,199157472453
"200004802";"Femmes";"FAM_2";118,123023121654;13,6671919145794;11,5703031918711;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";73,2408856043359;50,6636870726793;206,878333914215
"200004802";"Hommes";"FAM_2";44,8821375173181;5,19299938974624;5,53219251224746;"Part des inactifs parmi les 15-64 ans

(hors étudiants et retraités)";"%";"Inactivité";73,2408856043359;174,842377164107;206,878333914215
